발생지시도,발생지시군구,가해자법규위반,경도,위도
서울,중구,안전운전 의무 불이행,126.9952985,37.56844929
서울,노원구,안전운전 의무 불이행,127.0705398,37.66189171
서울,중구,안전운전 의무 불이행,126.9887834,37.56240025
서울,강서구,안전운전 의무 불이행,126.867315,37.5540963
서울,구로구,안전운전 의무 불이행,126.8872128,37.48971867
서울,성동구,안전운전 의무 불이행,127.0244051,37.54455817
서울,강남구,안전운전 의무 불이행,127.0633317,37.50823968
서울,강동구,과속,127.1497905,37.5317016
서울,동작구,과속,126.9780449,37.48181733
서울,구로구,안전운전 의무 불이행,126.8561816,37.49007643
서울,도봉구,안전운전 의무 불이행,127.034884,37.63796123
서울,구로구,안전거리 미확보,126.8929196,37.49740965
서울,구로구,신호위반,126.856289,37.48810305
서울,금천구,보행자 보호의무 위반,126.8871526,37.47216896
서울,강남구,안전운전 의무 불이행,127.0372747,37.50813147
서울,금천구,안전운전 의무 불이행,126.9086534,37.45106862
서울,종로구,안전운전 의무 불이행,126.9987214,37.58993392
서울,성동구,안전운전 의무 불이행,127.0436045,37.55377364
서울,도봉구,안전운전 의무 불이행,127.049512,37.68749225
서울,도봉구,안전운전 의무 불이행,127.0349488,37.65119311
서울,중구,안전운전 의무 불이행,127.0007227,37.56673275
서울,용산구,안전운전 의무 불이행,126.9716193,37.53335531
서울,은평구,보행자 보호의무 위반,126.9195936,37.61735061
서울,양천구,안전운전 의무 불이행,126.8345465,37.53036403
서울,구로구,안전운전 의무 불이행,126.8242793,37.48915915
서울,영등포구,신호위반,126.8980042,37.50522336
서울,송파구,신호위반,127.1173753,37.49399631
서울,구로구,과속,126.8773906,37.48607091
서울,마포구,안전운전 의무 불이행,126.9623787,37.55135863
서울,종로구,안전운전 의무 불이행,126.9634092,37.59708856
서울,강남구,안전운전 의무 불이행,127.0354612,37.48491434
서울,강남구,기타,127.0540199,37.5234198
서울,강남구,과속,127.0394643,37.50165926
서울,성북구,보행자 보호의무 위반,127.0133696,37.60173973
서울,영등포구,안전운전 의무 불이행,126.8846882,37.51891839
서울,구로구,기타,126.8417724,37.50402205
서울,성북구,안전운전 의무 불이행,127.0504893,37.61757933
서울,송파구,중앙선 침범,127.1431484,37.48143985
서울,영등포구,안전운전 의무 불이행,126.8847476,37.55026757
서울,종로구,안전운전 의무 불이행,126.9924835,37.57777517
서울,광진구,보행자 보호의무 위반,127.0637797,37.54206021
서울,관악구,안전운전 의무 불이행,126.9418285,37.481796
서울,용산구,과속,126.9727783,37.53431593
서울,동작구,안전운전 의무 불이행,126.955652,37.49555753
서울,은평구,신호위반,126.9198754,37.62336391
서울,성동구,안전운전 의무 불이행,127.0307216,37.56263749
서울,금천구,안전운전 의무 불이행,126.8820358,37.48513987
서울,서대문구,안전운전 의무 불이행,126.9283883,37.57713067
서울,강서구,안전운전 의무 불이행,126.8627745,37.55709228
서울,중랑구,중앙선 침범,127.0728551,37.5925798
서울,노원구,안전운전 의무 불이행,127.0738763,37.66135399
서울,관악구,안전운전 의무 불이행,126.9589791,37.47343905
서울,중랑구,안전운전 의무 불이행,127.0887426,37.58068256
서울,강서구,안전운전 의무 불이행,126.8577736,37.53267389
서울,강남구,과속,127.0524173,37.52837119
서울,강북구,안전운전 의무 불이행,127.0133241,37.65043889
서울,동대문구,안전운전 의무 불이행,127.0525143,37.5670576
서울,종로구,안전운전 의무 불이행,127.0122657,37.57195294
서울,강남구,안전운전 의무 불이행,127.0247412,37.52548689
서울,용산구,안전운전 의무 불이행,126.9942551,37.52177289
서울,중구,신호위반,126.9730284,37.55667052
서울,양천구,신호위반,126.8556519,37.51880861
서울,성북구,안전운전 의무 불이행,127.023861,37.60692919
